id,name,categories
1,Abnegación,"[1, 4]"
2,Abundancia,"[2, 6]"
3,Accesibilidad,"[1, 2, 3, 7]"
4,Agilidad,"[2, 7]"
5,Agradecimiento,"[4, 6]"
6,Alegría,[6]
7,Altruísmo,"[1, 4]"
8,Amabilidad,[]
9,Amistad,[5]
10,Amor,"[1, 6]"
11,Aprendizaje,"[2, 3, 7]"
12,Audacia,[5]
13,Autenticidad,"[3, 4, 7]"
14,Aventurero,"[2, 3, 5]"
15,Ayudar,"[1, 4]"
16,Balance,"[3, 6]"
17,Bienestar,"[2, 3, 6]"
18,Bondad,"[1, 5]"
19,Calidad,"[3, 4, 7]"
20,Caridad,"[1, 4]"
21,Colaboración,"[1, 2, 3, 7]"
22,Compasión,"[1, 4, 6]"
23,Competente,"[2, 5]"
24,Compromiso,"[1, 4, 5, 6]"
25,Comunicación,"[2, 3, 7]"
26,Comunidad,"[1, 4, 6]"
27,Conciencia,"[4, 6]"
28,Conexión,"[2, 3, 6, 7]"
29,Confianza,"[2, 3, 6]"
30,Conocimiento,"[2, 6, 7]"
31,Consideración,"[1, 4, 5]"
32,Constancia,"[2, 6]"
33,Cooperación,"[1, 4, 6]"
34,Creatividad,"[3, 5, 7]"
35,Curiosidad,[5]
36,Determinación,"[1, 2, 6]"
37,Dignidad,[1]
38,Diligentes,"[2, 5]"
39,Dinamismo,"[1, 2, 7]"
40,Disciplina,"[2, 5, 6]"
41,Diversidad,"[1, 3, 6]"
42,Diversión,"[2, 3, 7]"
43,Educación,"[1, 2, 3, 7]"
44,Eficacia,"[2, 7]"
45,Eficiencia,"[2, 4, 7]"
46,Empatía,"[1, 5, 6]"
47,Empoderamiento,"[1, 2, 5, 6]"
48,Equidad,"[1, 4]"
49,Equilibrio,"[4, 6]"
50,Esfuerzo,[6]
51,Estabilidad,"[2, 3, 6]"
52,Estratégico,"[2, 5, 7]"
53,Estructura,"[2, 3, 7]"
54,Excelencia,"[2, 3, 7]"
55,Experiencia,"[2, 3]"
56,Familiar,[6]
57,Flexibilidad,"[2, 3, 7]"
58,Generosidad,"[1, 4]"
59,Gratitud,"[4, 6]"
60,Honestidad,"[2, 4, 5]"
61,Honradez,[5]
62,Humildad,[5]
63,Independencia,"[1, 2, 4, 6]"
64,Igualdad,"[1, 6]"
65,Impacto Social,"[1, 3, 4]"
66,Responsabilidad ambiental,"[3, 4]"
67,Inclusión,[1]
68,Influencia,"[4, 5, 7]"
69,Innovación,"[3, 4, 7]"
70,Integridad,"[1, 5]"
71,Intuición,[5]
72,Justicia,"[1, 2]"
73,Lealtad,"[2, 5]"
74,Libertad,"[1, 3, 6]"
75,Liderazgo,"[5, 7]"
76,Motivación,[6]
77,Optimismo,"[5, 6]"
78,Originalidad,"[2, 3, 7]"
79,Paciencia,"[1, 5]"
80,Pasión,"[1, 5, 6]"
81,Perseverancia,"[4, 5, 6]"
82,Placer,"[2, 3, 6]"
83,Precisión,"[2, 7]"
84,Privacidad,"[3, 6, 7]"
85,Proactivo,[5]
86,Profesionalismo,"[2, 5, 7]"
87,Prudencia,"[4, 5]"
88,Rapidez,"[2, 3, 7]"
89,Resiliencia,[1]
90,Resistencia,[3]
91,Respeto,"[1, 5]"
92,Responsabilidad,"[1, 5]"
93,Seguridad,"[2, 3, 7]"
94,Servicial,"[2, 5]"
95,Simplicidad,"[3, 4, 7]"
96,Sinceridad,[5]
97,Solidaridad,[1]
98,Sostenibilidad,"[1, 4, 7]"
99,Superación,"[1, 6]"
100,Sustentabilidad,"[1, 4]"
101,Trabajo en equipo,"[1, 4]"
102,Transparencia,"[2, 4, 7]"
103,Integración,"[4, 7]"
104,Utilidad,[3]
105,Valentía,"[1, 3, 5]"
106,Vitalidad,[6]
